yyyy,cpi,gold,infl,tbill,ltyld10,ltrate,callmoney,aaa,baa,corprate,corprate.i,sp500index,sp500d12,sp500e12,vwm,vwmx,svar,bkmk,ntis,eqis,csp,cay,ik
1802,0.9357,19.39,-0.1573,,0.066,,,,,,,,,,0.1214,,,,,,,,
1803,0.7885,19.39,0.0549,,0.0676,,,,,,,,,,-0.0478,,,,,,,,
1804,0.8318,19.39,0.0438,,0.069,,,,,,,,,,0.0078,,,,,,,,
1805,0.8682,19.39,-0.007,,0.07,,,,,,,,,,0.0061,,,,,,,,
1806,0.8621,19.39,0.0422,,0.0673,,,,,,,,,,0.1,,,,,,,,
1807,0.8985,19.39,-0.054,,0.0666,,,,,,,,,,0.0284,,,,,,,,
1808,0.85,19.39,0.0866,,0.0652,,,,,,,,,,0.1233,,,,,,,,
1809,0.9236,19.39,-0.0205,,0.064,,,,,,,,,,0.063,,,,,,,,
1810,0.9046,19.39,0,,0.0637,,,,,,,,,,0.03,,,,,,,,
1811,0.9046,19.39,0.068,,0.0651,,,,,,,,,,-0.026,,,,,,,,
1812,0.9661,19.39,0.0126,0.06,0.0671,,,,,,,,,,0.0886,,,,,,,,
1813,0.9782,19.39,0.2002,0.06,0.0692,,,,,,,,,,0.0635,,,,,,,,
1814,1.174,20.1,0.0989,0.07,0.0842,,,,,,,,,,-0.1214,,,,,,,,
1815,1.2901,21.64,-0.1229,,0.0803,,,,,,,,,,0.0809,,,,,,,,
1816,1.1315,20.95,-0.0865,,0.0798,,,,,,,,,,0.0125,,,,,,,,
1817,1.0336,19.46,-0.0536,,0.0641,,,,,,,,,,0.1754,,,,,,,,
1818,0.9782,19.39,-0.0434,,0.0633,,,,,,,,,,0.0186,,,,,,,,
1819,0.9357,19.39,0,,0.0646,,,,,,,,,,-0.0258,,,,,,,,
1820,0.9357,19.39,-0.0787,,0.0563,,,,,,,,,,0.1031,,,,,,,,
1821,0.8621,19.39,-0.0352,,0.0497,,,,,,,,,,0.1153,,,,,,,,
1822,0.8318,19.39,0.0365,,0.0505,,,,,,,,,,0.0023,,,,,,,,
1823,0.8621,19.39,-0.1065,,0.0514,,,,,,,,,,0.052,,,,,,,,
1824,0.7703,19.39,-0.0788,,0.046,,,,,,,,,,0.1043,,,,,,,,
1825,0.7096,19.39,0.0257,,0.0469,,,,,,,,,,-0.008,,,,,,,,
1826,0.7278,19.39,0,,0.0488,,,,,,,,,,0.0524,,,,,,,,
1827,0.7278,19.39,0.0083,,0.0474,,,,,,,,,,0.0198,,,,,,,,
1828,0.7338,19.39,-0.0496,,0.0486,,,,,,,,,,0.0524,,,,,,,,
1829,0.6974,19.39,-0.0185,,0.0488,,,,,,,,,,0.0412,,,,,,,,
1830,0.6845,19.39,-0.0089,,0.0474,,,,,,,,,,0.1288,,,,,,,,
1831,0.6784,19.39,-0.0626,,0.0478,,,,,,,,,,0.0826,,,,,,,,
1832,0.636,19.39,-0.0096,0.0538,0.0483,,,,,,,,,,0.1019,,,,,,,,
1833,0.6299,19.39,-0.0193,0.0868,0.0498,,,,,,,,,,0.0423,,,,,,,,
1834,0.6177,19.94,0.0197,0.099,0.0489,,,,,,,,,,0.1948,,,,,,,,
1835,0.6299,20.65,0.0289,0.0776,0.0481,,,,,,,,,,0.086,,,,,,,,
1836,0.6481,20.65,0.0562,0.1504,0.0507,,,,,,,,,,-0.072,,,,,,,,
1837,0.6845,20.65,0.0277,0.0813,0.0519,,,,,,,,,,-0.0289,,,,,,,,
1838,0.7035,20.65,-0.027,0.0728,0.0489,,,,,,,,,,0.0235,,,,,,,,
1839,0.6845,20.65,0,0.0908,0.0515,,,,,,,,,,-0.0723,,,,,,,,
1840,0.6845,20.65,-0.071,0.0439,0.0525,,,,,,,,,,0.1122,,,,,,,,
1841,0.636,20.65,0.0096,0.0548,0.0579,,,,,,,,,,-0.0832,,,,,,,,
1842,0.642,20.65,-0.0662,0.0525,0.0665,,,,,,,,,,-0.1453,,,,,,,,
1843,0.5995,20.65,-0.0924,0.0278,0.0548,,,,,,,,,,0.5452,,,,,,,,
1844,0.5441,20.65,0.0112,0.0421,0.0527,,,,,,,,,,0.2217,,,,,,,,
1845,0.5502,20.65,0.011,0.0569,0.0563,,,,,,,,,,0.1398,,,,,,,,
1846,0.5563,20.65,0.0109,0.0732,0.0601,,,,,,,,,,-0.0997,,,,,,,,
1847,0.5623,20.65,0.0769,0.0952,0.0632,,,,,,,,,,0.0639,,,,,,,,
1848,0.6056,20.65,-0.0414,0.11,0.0624,,,,,,,,,,0.0157,,,,,,,,
1849,0.5806,20.65,-0.0314,0.0592,0.0563,,,,,,,,,,0.0517,,,,,,,,
1850,0.5623,20.65,0.0216,0.0629,0.0498,,,,,,,,,,0.2469,,,,,,,,
1851,0.5745,20.65,-0.0211,0.0663,0.0486,,,,,,,,,,0.0186,,,,,,,,
1852,0.5623,20.65,0.0108,0.0556,0.0476,,,,,,,,,,0.2549,,,,,,,,
1853,0.5684,20.65,0,0.087,0.0434,,,,,,,,,,-0.0806,,,,,,,,
1854,0.5684,20.65,0.0868,0.0748,0.0448,,,,,,,,,,-0.2622,,,,,,,,
1855,0.6177,20.65,0.0295,0.0654,0.0453,,,,,,,,,,0.0672,,,,,,,,
1856,0.636,20.65,-0.0191,0.0755,0.0445,,,,,,,,,,0.0991,,,,,,,,
1857,0.6238,20.65,0.0292,0.068,0.0521,,0.07,,,,,,,,-0.2696,,,,,,,,
1858,0.642,20.65,-0.0567,0.0289,0.0527,,0.04,,,,,,,,0.2006,,,,,,,,
1859,0.6056,20.65,0.01,0.0545,0.0485,,0.0581,,,,,,,,-0.0592,,,,,,,,
1860,0.6117,20.65,0,0.0569,0.048,,0.0725,,,,,,,,0.1946,,,,,,,,
1861,0.6117,20.65,0.0596,0.0461,0.0492,,0.065,,,,,,,,0.0358,,,,,,,,
1862,0.6481,20.65,0.1417,0.0395,0.0524,,0.06,,,,,,,,0.6238,,,,,,,,
1863,0.7399,20.65,0.2482,0.0506,0.0441,,0.07,,,,,,,,0.399,,,,,,,,
1864,0.9236,20.65,0.2514,0.0622,0.0468,,0.066,,,,,,,,0.1035,,,,,,,,
1865,1.1558,20.65,0.0368,0.0563,0.0516,,0.068,,,,,,,,-0.0326,,,,,,,,
1866,1.1983,20.65,-0.0253,0.0497,0.0576,,0.0638,,,,,,,,0.0886,,,,,,,,
1867,1.1679,20.65,-0.0682,0.0587,0.0526,,0.065,,,,,,,,0.0769,,,,,,,,
1868,1.0882,20.65,-0.039,0.0646,0.0537,,0.114,,,,,,,,0.1631,,,,,,,,
1869,1.0457,20.65,-0.0414,0.0716,0.0532,,0.0796,,,,,,,,0.0541,,,,,,,,
1870,1.0025,20.65,-0.0424,0.0501,0.0552,,0.1145,,,,,,,,0.1081,,,,,,,,
1871,0.96,20.65,-0.0408,0.0589,0.0544,0.0938,0.1025,0.0821,,,0.0994,4.74,0.26,0.4,0.1174,,,,,,,,
1872,0.94,20.66,-0.0211,0.0743,0.0535,0.0779,0.2006,0.0816,,,0.0867,5.07,0.3,0.43,0.1224,,,,,,,,
1873,0.93,20.66,-0.0059,0.0901,0.055,0.0508,0.0788,0.0837,,,0.0626,4.42,0.33,0.46,-0.0824,,,,,,,,
1874,0.91,20.66,-0.0217,0.0496,0.0565,0.1432,0.038,0.0776,,,0.1416,4.54,0.33,0.46,0.1008,,,,,,,,
1875,0.88,20.66,-0.0373,0.0447,0.0534,0.1234,0.0517,0.0729,,,0.1239,4.37,0.3,0.36,0.0206,,,,,,,,
1876,0.84,20.66,-0.0389,0.0418,0.0478,0.0894,0.05,0.0707,,,0.095,3.58,0.3,0.28,-0.1252,,,,,,,,
1877,0.83,20.66,-0.0195,0.0423,0.0453,0.0752,0.06,0.0697,,,0.0808,3.25,0.19,0.3,-0.0377,,,,,,,,
1878,0.8,20.66,-0.033,0.0388,0.0437,0.0885,0.0438,0.0674,,,0.0934,3.45,0.18,0.31,0.1145,,,,,,,,
1879,0.77,20.65,-0.0428,0.0412,0.0429,0.112,0.058,0.063,,,0.1145,4.92,0.2,0.38,0.5063,,,,,,,,
1880,0.76,20.66,-0.0035,0.0427,0.042,0.1337,0.112,0.0566,,,0.1353,5.84,0.26,0.49,0.2437,,,,,,,,
1881,0.77,20.66,0.0134,0.0424,0.0384,0.0489,0.06,0.0567,,,0.0555,6.01,0.32,0.44,0.0746,,,,,,,,
1882,0.78,20.66,0.0094,0.0465,0.037,0.0502,0.0463,0.0567,,,0.0567,5.84,0.32,0.43,0.0211,,,,,,,,
1883,0.77,20.66,-0.0173,0.0464,0.0362,0.058,0.0213,0.056,,,0.0646,5.34,0.33,0.4,-0.034,,,,,,,,
1884,0.74,20.66,-0.0345,0.0425,0.0365,0.0558,0.015,0.0555,,,0.0617,4.34,0.31,0.31,-0.1155,,,,,,,,
1885,0.72,20.66,-0.0237,0.0321,0.0359,0.0992,0.0275,0.0514,,,0.1039,5.2,0.24,0.27,0.2602,,0.0237,,,,,,
1886,0.72,20.65,-0.0092,0.0384,0.0342,0.06,0.087,0.0501,,,0.0669,5.64,0.22,0.33,0.1229,,0.0165,,,,,,
1887,0.72,20.65,0.0004,0.0475,0.0341,0.0295,0.05,0.0514,,,0.0347,5.27,0.25,0.36,-0.0284,,0.0183,,,,,,
1888,0.72,20.66,0.0101,0.0396,0.0373,0.0647,0.0413,0.0497,,,0.0718,5.14,0.23,0.26,0.0135,,0.0129,,,,,,
1889,0.73,20.65,0.01,0.0394,0.0359,0.0502,0.08,0.0491,,,0.0569,5.32,0.22,0.3,0.0745,,0.0069,,,,,,
1890,0.73,20.66,-0.0037,0.0463,0.0334,0.0139,0.05,0.0515,,,0.0208,4.6,0.22,0.29,-0.1045,,0.0226,,,,,,
1891,0.73,20.68,-0.005,0.0442,0.0364,0.0581,0.0294,0.0505,,,0.0634,5.41,0.22,0.34,0.2302,,0.0161,,,,,,
1892,0.73,20.68,0.0004,0.0325,0.0366,0.0527,0.0681,0.0498,,,0.0589,5.51,0.24,0.37,0.0566,,0.0109,,,,,,
1893,0.72,20.68,-0.0051,0.0571,0.0361,0.0448,0.0116,0.0497,,,0.051,4.41,0.25,0.26,-0.1609,,0.0546,,,,,,
1894,0.7,20.66,-0.0258,0.0228,0.0367,0.0748,0.0144,0.0472,,,0.0804,4.3,0.21,0.16,0.0153,,0.0167,,,,,,
1895,0.68,20.65,-0.0336,0.0285,0.0347,0.0449,0.0456,0.0469,,,0.0509,4.32,0.19,0.25,0.0477,,0.0287,,,,,,
1896,0.67,20.71,-0.0113,0.048,0.0331,0.0412,0.0195,0.047,,,0.0457,4.22,0.18,0.21,0.017,,0.0464,,,,,,
1897,0.67,20.71,-0.0055,0.027,0.0312,0.0727,0.0292,0.0444,,,0.0797,4.75,0.18,0.31,0.172,,0.0228,,,,,,
1898,0.67,20.71,-0.0056,0.0298,0.032,0.0528,0.0241,0.0433,,,0.0584,5.65,0.2,0.35,0.2288,,0.0324,,,,,,
1899,0.67,20.66,0.0004,0.0329,0.0308,0.0309,0.1113,0.0438,,,0.037,6.02,0.21,0.48,0.1028,,0.0271,,,,,,
1900,0.67,20.68,0.0064,0.035,0.0317,0.0533,0.0415,0.0429,,,0.0549,6.87,0.3,0.48,0.1882,,0.0172,,,,,,
1901,0.68,20.71,0.0124,0.0341,0.0325,0.0387,0.0513,0.0427,,,0.0457,7.95,0.32,0.5,0.1999,,0.0373,,,,,,
1902,0.69,20.69,0.0123,0.0399,0.0347,0.0238,0.0625,0.043,,,0.0397,8.05,0.33,0.63,0.0493,,0.0134,,,,,,
1903,0.7,20.67,0.018,0.0449,0.034,0.0237,0.0681,0.0452,,,0.0146,6.57,0.35,0.53,-0.1493,,0.0247,,,,,,
1904,0.71,20.68,0.0176,0.0334,0.0351,0.0554,0.055,0.043,,,0.0736,8.25,0.31,0.49,0.3091,,0.0127,,,,,,
1905,0.71,20.64,0.0004,0.0351,0.0376,0.0365,0.0313,0.0423,,,0.0523,9.54,0.33,0.67,0.2001,,0.0156,,,,,,
1906,0.72,20.62,0.0061,0.0469,0.0422,0.0219,0.165,0.0444,,,0.0153,9.84,0.4,0.76,0.0691,,0.0171,,,,,,
1907,0.74,20.66,0.0327,0.053,0.0388,-0.0106,0.14,0.0501,,,-0.0238,6.57,0.44,0.66,-0.3017,,0.048,,,,,,
1908,0.75,20.67,0.0113,0.0349,0.0389,0.0915,0.146,0.0451,,,0.1133,9.03,0.4,0.58,0.4447,,0.0201,,,,,,
1909,0.74,20.68,-0.0157,0.0313,0.0401,0.0349,0.029,0.0452,,,0.0429,10.3,0.44,0.76,0.1971,,0.01,,,,,,
1910,0.75,20.64,0.0168,0.0408,0.04,0.0316,0.0503,0.0461,,,0.0344,9.05,0.47,0.73,-0.0836,,0.0189,,,,,,
1911,0.76,20.64,0.0219,0.0317,0.0424,0.0389,0.0338,0.046,,,0.0472,9.11,0.47,0.59,0.0557,,0.0078,,,,,,
1912,0.77,20.65,0.0109,0.0383,0.0437,0.0286,0.0403,0.0467,,,0.0375,9.38,0.48,0.7,0.0801,,0.0065,,,,,,
1913,0.79,20.64,0.0237,0.046,0.0424,0.0126,0.065,0.0488,,,0.0211,8.04,0.48,0.63,-0.0956,,0.0107,,,,,,
1914,0.8,20.72,0.0096,0.0387,0.042,0.0276,0.0458,0.0482,,,0.0562,7.35,0.42,0.52,-0.0399,,0.0116,,,,,,
1915,0.81,20.72,0.0195,0.0265,0.0428,0.0653,0.0338,0.0471,,,0.0622,9.48,0.43,0.88,0.355,,0.0191,,,,,,
1916,0.91,20.72,0.1154,0.0263,0.0419,0.0593,0.0193,0.0465,,,0.0537,9.8,0.56,1.53,0.0996,,0.0178,,,,,,
1917,1.07,20.72,0.1825,0.0382,0.0453,-0.0581,0.0444,0.0535,,,-0.0338,6.8,0.69,1.28,-0.2478,,0.0356,,,,,,
1918,1.29,20.72,0.2028,0.0486,0.0497,0.0827,0.0516,0.0523,,,0.0666,7.9,0.57,0.99,0.2526,,0.0154,,,,,,
1919,1.48,20.7,0.1458,0.0445,0.049,-0.0119,0.0539,0.0573,0.0777,,-0.0034,8.92,0.53,0.93,0.1947,,0.0245,,,,,,
1920,1.51,20.68,0.0212,0.0588,0.054,-0.0033,0.0885,0.0626,0.0856,,0.0004,6.81,0.51,0.8,-0.1913,,0.0334,,,,,,
1921,1.35,20.58,-0.1079,0.039,0.0447,0.1481,0.07,0.055,0.0761,,0.1496,7.31,0.46,0.29,0.1425,,0.019,0.5965,,,,,
1922,1.31,20.66,-0.0255,0.0365,0.0432,0.0983,0.0514,0.0508,0.0702,,0.1049,8.78,0.51,0.69,0.2695,,0.0147,0.4726,,,,,
1923,1.35,21.32,0.0256,0.0388,0.0435,0.046,0.0466,0.0509,0.0738,,0.0496,8.55,0.53,0.98,0.0327,,0.0157,0.5402,,,,,
1924,1.34,20.69,-0.002,0.0257,0.0396,0.0631,0.0486,0.0495,0.0646,,0.0677,10.16,0.55,0.93,0.2554,,0.0107,0.4589,,,,,
1925,1.4,20.64,0.0383,0.0351,0.0381,0.0571,0.0349,0.0485,0.0615,,0.0616,12.46,0.6,1.25,0.2908,,0.0135,0.3894,,,,,
1926,1.37,20.63,-0.0151,0.0307,0.0356,0.0777,0.0532,0.0468,0.0568,0.0737,0.0694,13.49,0.69,1.24,0.1221,0.0661,0.0165,0.4415,0.0464,,,,
1927,1.35,20.64,-0.0212,0.0317,0.0315,0.0894,0.0516,0.0446,0.0532,0.0744,0.0744,17.66,0.77,1.11,0.3583,0.2941,0.0094,0.3747,0.074,0.2655,,,
1928,1.33,20.66,-0.0098,0.0426,0.0344,0.0008,0.0438,0.0461,0.056,0.0284,0.026,24.35,0.85,1.38,0.3896,0.3343,0.0198,0.2597,0.0426,0.4974,,,
1929,1.34,20.63,0.0018,0.0303,0.0335,0.0341,0.086,0.0467,0.0595,0.0327,0.0387,21.45,0.97,1.61,-0.0853,-0.1186,0.1229,0.3385,0.1656,0.7206,,,
1930,1.25,20.65,-0.0607,0.0148,0.032,0.0464,0.0483,0.0452,0.0671,0.0798,0.0654,15.34,0.98,0.97,-0.2633,-0.2962,0.0659,0.5547,0.1315,0.3078,,,
1931,1.13,17.06,-0.0957,0.0241,0.0394,-0.0532,0.0223,0.0532,0.1042,-0.0185,-0.0478,8.12,0.82,0.61,-0.4554,-0.4893,0.1598,1.1707,-0.011,0.1447,,,
1932,1.02,20.69,-0.1036,0.0004,0.0334,0.1685,0.027,0.0459,0.0842,0.1082,0.1438,6.89,0.5,0.41,-0.0887,-0.148,0.3095,1.4421,-0.004,0.0373,,,
1933,1.02,26.33,0.0043,0.0029,0.0352,-0.0007,0.01,0.045,0.0775,0.1038,0.0572,10.1,0.44,0.44,0.5354,0.4755,0.2245,0.829,0.0074,0.4011,,,
1934,1.04,34.69,0.0201,0.0023,0.0298,0.1001,0.0094,0.0381,0.0623,0.1384,0.1369,9.5,0.45,0.49,-0.0257,-0.0626,0.0668,0.7737,0.022,0.0713,,,
1935,1.07,34.84,0.0296,0.0015,0.028,0.05,0.01,0.0344,0.053,0.0961,0.0891,13.43,0.47,0.76,0.4573,0.4008,0.0356,0.5599,0.0097,0.0662,,,
1936,1.09,34.87,0.012,0.0012,0.0254,0.075,0.0075,0.031,0.0453,0.0674,0.0828,17.18,0.72,1.02,0.3362,0.2815,0.0315,0.4586,0.0243,0.1206,,,
1937,1.12,34.79,0.0309,0.0011,0.0269,0.0023,0.01,0.0321,0.0573,0.0275,0.0155,10.55,0.8,1.13,-0.3602,-0.3944,0.0998,0.7075,0.0271,0.3124,0.0028,,
1938,1.09,34.85,-0.028,0.0003,0.0251,0.0551,0.01,0.0308,0.0527,0.0613,0.0506,13.21,0.51,0.64,0.2931,0.2427,0.1122,0.572,0.0054,0.0449,0.0042,,
1939,1.08,34.42,-0.005,0.0004,0.0229,0.0595,0.01,0.0294,0.0492,0.0397,0.051,12.49,0.62,0.9,-0.0107,-0.0563,0.0666,0.5807,0.0034,0.0855,0.0061,,
1940,1.09,33.85,0.0095,0.0002,0.0194,0.0609,0.01,0.0271,0.0445,0.0339,0.0634,10.58,0.67,1.05,-0.0975,-0.1514,0.0481,0.729,0.0286,0.1187,0.0043,,
1941,1.2,33.85,0.0965,0.0033,0.0242,0.0093,0.01,0.028,0.0438,0.0273,0.0139,8.69,0.71,1.16,-0.1173,-0.1796,0.0224,0.8895,-0.0043,0.1142,0.0034,,
1942,1.31,33.85,0.0924,0.0038,0.0244,0.0322,0.01,0.0281,0.0428,0.026,0.0265,9.77,0.59,1.03,0.2089,0.1293,0.018,0.8626,0.0023,0.1238,0.0051,,
1943,1.35,33.85,0.0313,0.0038,0.0244,0.0209,0.01,0.0274,0.0382,0.0283,0.0384,11.67,0.61,0.94,0.2664,0.2031,0.0159,0.7874,0.0154,0.1643,0.002,,
1944,1.38,33.85,0.021,0.0038,0.0243,0.0282,0.01,0.027,0.0349,0.0473,0.0333,13.28,0.64,0.93,0.2115,0.1511,0.0084,0.7438,0.0166,0.1645,0.0035,,
1945,1.41,34.71,0.0224,0.0038,0.0227,0.1073,0.01,0.0261,0.031,0.0408,0.0404,17.36,0.66,0.96,0.3671,0.3101,0.0159,0.6132,0.0245,0.2117,0.0043,-0.0409,
1946,1.66,34.71,0.1787,0.0038,0.0217,-0.0008,0.01,0.0261,0.0317,0.0172,0.0261,15.3,0.71,1.06,-0.0929,-0.1285,0.0458,0.6924,0.0378,0.3185,0.0018,0.058,
1947,1.81,34.71,0.0899,0.0095,0.0233,-0.0263,0.0138,0.0286,0.0352,-0.0234,-0.0103,15.3,0.84,1.61,0.0491,-0.0065,0.0193,0.7253,0.0281,0.2396,0.0048,0.0741,0.0343
1948,1.86,34.71,0.0273,0.0116,0.0238,0.0339,0.0138,0.0279,0.0353,0.0414,0.0389,15.2,0.93,2.29,0.0526,-0.0084,0.0221,0.8409,0.0151,0.1571,0.0016,0.0565,0.0348
1949,1.83,31.69,-0.0183,0.011,0.0212,0.0644,0.0163,0.0258,0.0331,0.0331,0.0593,16.76,1.14,2.32,0.1806,0.0977,0.0123,0.7964,0.0272,0.1919,0.0043,0.0498,0.0289
1950,1.93,34.72,0.058,0.0134,0.0233,0.0005,0.0163,0.0267,0.032,0.0212,0.0124,20.41,1.47,2.84,0.3295,0.2303,0.0215,0.7225,0.0314,0.227,0.0057,0.0047,0.0344
1951,2.05,34.72,0.0596,0.0173,0.0266,-0.0394,0.0163,0.0301,0.0361,-0.0269,-0.0221,23.77,1.41,2.44,0.2342,0.1602,0.0122,0.7213,0.0361,0.2648,0.0041,0.0061,0.0325
1952,2.06,34.6,0.0091,0.0209,0.0271,0.0117,0.0238,0.0297,0.0351,0.0352,0.0359,26.57,1.41,2.4,0.1894,0.1228,0.0066,0.6941,0.0265,0.2025,0.0034,0.0051,0.0318
1953,2.08,34.84,0.006,0.016,0.0259,0.0363,0.0263,0.0313,0.0374,0.0341,0.007,24.81,1.45,2.51,-0.0171,-0.073,0.0083,0.7597,0.0248,0.204,0.0028,-0.007,0.0331
1954,2.07,35.04,-0.0037,0.0115,0.0251,0.0718,0.0325,0.029,0.0345,0.0539,0.0647,35.98,1.54,2.77,0.5265,0.4499,0.0084,0.6041,0.0267,0.2132,0.0028,0.0089,0.0316
1955,2.08,35.03,0.0037,0.0254,0.0296,-0.0128,0.03,0.0315,0.0362,0.0048,-0.0064,45.48,1.64,3.62,0.313,0.2579,0.0216,0.5098,0.0252,0.2754,0.0002,-0.0091,0.0358
1956,2.14,34.99,0.0283,0.0321,0.0359,-0.0559,0.0363,0.0375,0.0437,-0.0681,-0.0489,46.67,1.74,3.41,0.0643,0.0218,0.0139,0.5442,0.0262,0.2685,0.001,-0.0164,0.0345
1957,2.2,34.95,0.0304,0.0304,0.0321,0.0747,0.045,0.0381,0.0503,0.0871,0.0295,39.99,1.79,3.37,-0.1081,-0.147,0.0175,0.6537,0.0347,0.227,0.0007,-0.0092,0.0332
1958,2.24,35.1,0.0176,0.0277,0.0386,-0.0611,0.045,0.0408,0.0485,-0.0222,0.003,55.21,1.75,2.89,0.4374,0.3828,0.0085,0.5118,0.0237,0.1648,0.0016,0.0037,0.0295
1959,2.27,35.1,0.0152,0.0449,0.0469,-0.0227,0.0375,0.0458,0.0528,-0.0097,-0.0213,59.89,1.83,3.39,0.124,0.0881,0.0084,0.4578,0.0229,0.2624,0.001,0.0035,0.0315
1960,2.3,35.27,0.0136,0.0225,0.0384,0.1379,0.0475,0.0435,0.051,0.0907,0.075,58.11,1.95,3.27,0.0059,-0.0285,0.0101,0.5504,0.0227,0.2042,-0.0014,0.0094,0.0313
1961,2.32,35.25,0.0067,0.026,0.0406,0.0097,0.045,0.0442,0.051,0.0482,0.0347,71.55,2.02,3.19,0.2711,0.2336,0.0065,0.5059,0.0223,0.2844,-0.0022,0.0049,0.0318
1962,2.35,35.23,0.0123,0.0287,0.0386,0.0688,0.045,0.0424,0.0492,0.0795,0.0673,63.1,2.13,3.67,-0.0875,-0.1184,0.0285,0.5916,0.0199,0.1622,-0.0028,0.0043,0.0327
1963,2.39,35.09,0.0165,0.0352,0.0413,0.0121,0.045,0.0435,0.0485,0.0219,0.0285,75.02,2.28,4.02,0.2269,0.1878,0.0074,0.5256,0.009,0.1115,-0.0015,0.0037,0.0347
1964,2.42,35.1,0.012,0.0384,0.0418,0.0351,0.045,0.0444,0.0481,0.0477,0.0322,84.75,2.5,4.55,0.1668,0.1319,0.0028,0.4872,0.0231,0.2215,-0.0024,-0.0075,0.0369
1965,2.46,35.12,0.0192,0.0438,0.0462,0.007,0.045,0.0468,0.0502,-0.0046,0.0149,92.43,2.72,5.19,0.1261,0.0922,0.0046,0.4306,0.0208,0.1421,-0.0008,-0.0132,0.0418
1966,2.54,35.13,0.0336,0.0496,0.0484,0.0365,0.0497,0.0539,0.0618,0.002,-0.0353,80.33,2.87,5.55,-0.102,-0.1321,0.0139,0.5769,0.0172,0.139,0,-0.0122,0.0418
