Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-April-2016,1017.00,1023.85,1008.00,1016.80,1014.624204502654695226,411535,15742,417553372.00,103288,25.10,15.85,-0.20
25-April-2016,1042.70,1044.90,1012.75,1016.15,1020.171031561136881542,628843,25573,641527412.00,150237,23.89,32.15,-26.55
22-April-2016,1041.00,1047.75,1030.50,1038.75,1039.441825996127375491,242213,9581,251766323.00,74180,30.63,17.25,-2.25
21-April-2016,1044.90,1051.50,1035.00,1040.90,1041.892153103038189581,232079,9249,241801289.00,61280,26.40,16.50,-4.00
20-April-2016,1068.20,1070.00,1035.35,1038.30,1045.475323990787317665,261813,13736,273719031.00,94153,35.96,34.65,-29.90
18-April-2016,1065.45,1065.70,1055.00,1061.75,1059.679835647703760585,375048,7026,397430803.00,177510,47.33,10.70,-3.70
13-April-2016,1052.00,1068.30,1052.00,1065.45,1059.652863620078912965,421477,11413,446619310.00,216488,51.36,16.30,13.45
12-April-2016,1040.30,1057.00,1038.60,1047.15,1049.496555614787824835,193213,7206,202776378.00,52828,27.34,18.40,6.85
11-April-2016,1035.20,1045.00,1033.30,1039.85,1040.203615934016675133,167315,6245,174041668.00,54424,32.53,11.70,4.65
8-April-2016,1033.50,1054.00,1032.05,1037.85,1042.077181272786897895,259195,10732,270101195.00,45808,17.67,21.95,4.35
7-April-2016,1032.00,1048.00,1023.25,1037.95,1037.863811791755624897,170492,6997,176947477.00,39029,22.89,24.75,5.95
6-April-2016,1030.80,1035.90,1022.20,1031.45,1029.603310880237470030,87590,4622,90182954.00,18891,21.57,13.70,0.65
5-April-2016,1030.00,1042.00,1022.65,1028.10,1029.900072770733635018,207501,5923,213705295.00,69880,33.68,19.35,-1.90
4-April-2016,1036.15,1042.45,1024.45,1035.15,1032.861937439191341708,116143,5958,119959684.00,21351,18.38,18.00,-1.00
1-April-2016,1039.00,1045.90,1026.40,1033.65,1033.450943451337773104,205416,11717,212287359.00,48657,23.69,19.50,-5.35
31-March-2016,1043.00,1055.95,1034.10,1045.25,1046.026559857891950057,292735,9205,306208585.00,120343,41.11,21.85,2.25
30-March-2016,1040.35,1050.90,1040.25,1044.90,1046.844296689258720414,225448,8963,236008953.00,74792,33.17,10.65,4.55
29-March-2016,1023.05,1040.90,1022.40,1035.40,1034.326701447583374883,246687,7577,255154951.00,74615,30.25,18.50,12.35
28-March-2016,1029.00,1031.95,1015.50,1020.50,1022.457176176866725797,304410,12716,311246189.00,106985,35.15,16.45,-8.50
23-March-2016,1047.00,1047.00,1023.00,1029.35,1031.409251074926745204,350489,10739,361497597.00,106129,30.28,24.00,-17.65
22-March-2016,1038.10,1052.50,1036.75,1048.50,1045.552948731103924690,302113,11164,315875138.00,91235,30.20,15.75,10.40
21-March-2016,1027.20,1039.00,1023.50,1036.20,1029.796757211003732173,202295,7924,208322735.00,73940,36.55,15.50,9.00
18-March-2016,1019.00,1028.40,1016.25,1025.20,1022.109259948655221261,827348,8279,845640052.00,684960,82.79,12.15,6.20
17-March-2016,1028.00,1036.40,1012.40,1015.55,1024.415860658179579352,201404,8721,206321452.00,50951,25.30,24.00,-12.45
16-March-2016,1021.00,1025.70,1005.40,1021.75,1016.292459534149230161,164645,6645,167327472.00,22640,13.75,20.30,0.75
15-March-2016,1021.00,1026.95,1016.00,1020.40,1021.226939520333680917,191800,5634,195871327.00,77167,40.23,10.95,-0.60
14-March-2016,1018.15,1026.00,1013.00,1018.55,1018.646669643810614812,206014,6156,209855475.00,60195,29.22,13.00,0.40
11-March-2016,1016.50,1029.50,1011.30,1015.65,1019.571164815673311430,248065,8869,252919921.00,44780,18.05,18.20,-0.85
